orchard,prop.zap,latitude,date
RR,0,44.025,10/8/22
Hansel,0,43.834,10/8/22
Carver Hill,0.03,42.43,10/12/22
HPH,0.02,42.411,10/12/22
Lyman,0.67,41.494,10/13/22
Linvilla,0.1,39.885,10/14/22
HPO,0.64,37.572,10/6/22
RAB,0.23,34.7,9/30/22
HC,0.63,34.62,9/30/22
FSP,0.31,25.535,10/2/22
CM,0.03,37.991,10/4/22
