location,date,fruit,zind,other
CM,8/21/2020,apples,15,66
CM,8/21/2020,peaches,147,153
CM,9/4/2020,peaches,218,444
CM,9/4/2020,apples,30,46
CM,9/18/2020,peaches,128,288
CM,9/18/2020,apples,49,219
CM,9/30/2020,peaches,27,65
CM,9/30/2020,apples,52,230
Linvilla,10/14/2022,apples,20,188
Linvilla,10/14/2022,peaches,339,288
HPO,8/17/2022,peaches,293,140
HPO,8/17/2022,apples,5,1
Carver Hill,10/12/2022,apples,4,149
Carver Hill,10/12/2022,peaches,4,33
