date,location,prop.zap,n.total,n.zap,n.other,lat,long
9/30/2022,HC,0.632420091,438,277,161,34.62013611,-83.76
9/30/2022,RAB,0.233190272,699,163,536,34.69555946,-85.04
10/2/2022,FSP,0.312757202,2187,684,1503,25.53479225,-80.49344285
10/6/2022,HPO,0.642045455,176,113,63,37.57213335,-77.26569138
10/8/2022,RR,0,20,0,20,44.02505791,-69.94359235
10/12/2022,Carver Hill,0.026143791,153,4,149,42.43044859,-71.50410928
10/13/2022,Lyman,0.67264574,446,300,146,41.49443128,-72.72949988
10/14/2022,Linvilla,0.096153846,208,20,188,39.88507849,-75.41001366
